Well,Sample ID,Peak ID,Size (bp),% (Conc.) (ng/uL),nmole/L,ng/ul,RFU,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul)
A1,2N:30s,1,1,,118.7568,0.0569,484,20.1099,2417.1255,19.6087
A1,2N:30s,2,11,4.7,257.8192,0.9499,561,20.1099,2417.1255,19.6087
A1,2N:30s,3,14,20.4,882.6762,4.1009,2267,20.1099,2417.1255,19.6087
A1,2N:30s,4,18,5.8,197.8125,1.1726,714,20.1099,2417.1255,19.6087
A1,2N:30s,5,20,7.5,219.4496,1.5119,745,20.1099,2417.1255,19.6087
A1,2N:30s,6,24,8.0,196.7063,1.6074,608,20.1099,2417.1255,19.6087
A1,2N:30s,7,34,22.6,399.1331,4.5407,1433,20.1099,2417.1255,19.6087
A1,2N:30s,8,66,5.7,56.2808,1.1453,500,20.1099,2417.1255,19.6087
A1,2N:30s,9,77,25.3,207.2479,5.0811,4139,20.1099,2417.1255,19.6087
A1,2N:30s,,,,,,,20.1099,2417.1255,19.6087
A2,2N:45s,1,1,,118.7568,0.0569,540,16.7097,2040.3322,16.2726
A2,2N:45s,2,11,4.4,199.6135,0.7355,504,16.7097,2040.3322,16.2726
A2,2N:45s,3,13,17.9,690.9963,2.9889,1798,16.7097,2040.3322,16.2726
A2,2N:45s,4,17,6.0,177.6302,0.9961,690,16.7097,2040.3322,16.2726
A2,2N:45s,5,19,8.0,202.4635,1.3300,734,16.7097,2040.3322,16.2726
A2,2N:45s,6,23,8.4,177.8211,1.3961,588,16.7097,2040.3322,16.2726
A2,2N:45s,7,32,22.3,347.6920,3.7326,1332,16.7097,2040.3322,16.2726
A2,2N:45s,8,62,6.1,52.7227,1.0222,503,16.7097,2040.3322,16.2726
A2,2N:45s,9,74,27.0,191.3928,4.5084,4105,16.7097,2040.3322,16.2726
A2,2N:45s,,,,,,,16.7097,2040.3322,16.2726
A3,2N:1min,1,1,,118.7568,0.0569,541,16.3939,1995.9000,16.0576
A3,2N:1min,2,11,4.6,203.2188,0.7488,541,16.3939,1995.9000,16.0576
A3,2N:1min,3,13,17.9,678.7367,2.9359,1811,16.3939,1995.9000,16.0576
A3,2N:1min,4,19,13.7,360.0631,2.2499,774,16.3939,1995.9000,16.0576
A3,2N:1min,5,24,8.4,175.2962,1.3763,608,16.3939,1995.9000,16.0576
A3,2N:1min,6,32,22.5,344.1450,3.6946,1330,16.3939,1995.9000,16.0576
A3,2N:1min,7,63,6.0,50.1390,0.9882,517,16.3939,1995.9000,16.0576
A3,2N:1min,8,75,26.8,184.3011,4.4004,4239,16.3939,1995.9000,16.0576
A3,2N:1min,,,,,,,16.3939,1995.9000,16.0576
A4,2N:2min,1,1,,118.7568,0.0569,578,16.4506,1914.7677,16.0008
A4,2N:2min,2,11,4.4,196.8935,0.7255,540,16.4506,1914.7677,16.0008
A4,2N:2min,3,13,16.1,569.3330,2.6451,1612,16.4506,1914.7677,16.0008
A4,2N:2min,4,17,6.9,201.8488,1.1319,777,16.4506,1914.7677,16.0008
A4,2N:2min,5,20,7.6,191.1989,1.2560,793,16.4506,1914.7677,16.0008
A4,2N:2min,6,24,8.5,178.7137,1.4031,643,16.4506,1914.7677,16.0008
A4,2N:2min,7,32,22.7,337.1682,3.7277,1308,16.4506,1914.7677,16.0008
A4,2N:2min,8,65,6.3,52.6846,1.0384,561,16.4506,1914.7677,16.0008
