Well,Sample ID,% microRNA,ng/ul (smallRNA),ng/ul (micro RNA)
A1,2N:30s,65.5,19.5,12.8
A2,2N:45s,64.3,16.2,10.4
A3,2N:1min,64.4,15.9,10.3
A4,2N:2min,63.0,15.9,10.0
A5,2N:3min,64.0,14.7,9.4
A6,2N:5min,63.8,15.1,9.6
A7,2N:7min,63.9,15.0,9.6
A8,2N:10min,62.7,15.6,9.8
A9,2N:15min,63.3,15.5,9.8
A10,2N:20min,62.5,15.2,9.5
A11,2N:30min,63.2,15.2,9.6
A12,2N:Cont,52.6,11.5,6.1
B1,3N:30s,63.2,14.4,9.1
B2,3N:45s,61.6,12.9,8.0
B3,3N:1min,62.0,13.6,8.4
B4,3N:2min,61.6,12.3,7.6
B5,3N:3min,60.5,13.4,8.1
B6,3N:5min,61.4,12.2,7.5
B7,3N:7min,60.3,12.7,7.7
B8,3N:10min,60.6,12.6,7.6
B9,3N:15min,61.1,13.6,8.3
B10,3N:20min,61.8,12.8,7.9
B11,3N:30min,60.7,13.4,8.1
B12,3N:Cont,48.4,9.4,4.5
C1,5N:30s,60.0,12.8,7.7
C2,5N:45s,60.8,13.4,8.1
C3,5N:1min,60.3,12.6,7.6
C4,5N:2min,59.9,13.4,8.0
C5,5N:3min,61.4,12.6,7.8
C6,5N:5min,62.6,12.9,8.1
C7,5N:7min,59.9,11.9,7.1
C8,5N:10min,59.3,11.8,7.0
C9,5N:15min,60.4,12.0,7.3
C10,5N:20min,61.1,12.5,7.6
C11,5N:30min,61.3,12.5,7.6
C12,5N:Cont,50.5,9.3,4.7
D1,7N:30s,58.6,13.1,7.7
D2,7N:45s,60.6,11.4,6.9
D3,7N:1min,61.1,12.3,7.5
D4,7N:2min,59.5,11.6,6.9
D5,7N:3min,64.4,11.6,7.5
D6,7N:5min,60.1,12.1,7.3
D7,7N:7min,59.8,12.7,7.6
D8,7N:10min,58.6,13.9,8.2
D9,7N:15min,61.2,12.9,7.9
D10,7N:20min,60.8,11.7,7.1
D11,7N:30min,57.2,13.4,7.7
D12,7N:Cont,49.7,8.5,4.2
E1,10N:30s,58.8,11.1,6.6
E2,10N:45s,60.9,12.5,7.6
E3,10N:1min,59.4,12.7,7.6
E4,10N:2min,59.2,12.6,7.4
E5,10N:3min,60.2,11.5,6.9
E6,10N:5min,59.7,11.4,6.8
E7,10N:7min,60.0,12.6,7.6
E8,10N:10min,58.9,12.8,7.5
E9,10N:15min,60.1,12.0,7.2
E10,10N:20min,58.1,11.9,6.9
E11,10N:30min,58.0,12.4,7.2
E12,10N:Cont,49.3,10.2,5.0
F1,15N:30s,60.5,13.2,8.0
F2,15N:45s,60.3,11.4,6.9
F3,15N:1min,61.1,12.3,7.5
F4,15N:2min,60.6,12.8,7.8
F5,15N:3min,58.9,12.4,7.3
F6,15N:5min,61.3,12.6,7.7
F7,15N:7min,59.9,12.8,7.6
F8,15N:10min,61.5,14.1,8.7
F9,15N:15min,58.4,12.9,7.5
F10,15N:20min,60.5,13.0,7.9
F11,15N:30min,58.9,12.4,7.3
F12,15N:Cont,44.8,10.5,4.7
G1,20N:30s,59.4,13.0,7.7
G2,20N:45s,59.1,12.2,7.2
G3,20N:1min,59.4,11.5,6.9
G4,20N:2min,58.6,12.1,7.1
G5,20N:3min,59.0,12.4,7.3
G6,20N:5min,60.5,12.9,7.8
G7,20N:7min,60.4,12.0,7.2
G8,20N:10min,59.8,12.8,7.7
G9,20N:15min,59.1,14.7,8.7
G10,20N:20min,60.2,13.7,8.3
G11,20N:30min,57.3,13.5,7.8
G12,20N:Cont,51.2,10.5,5.4
H1,40N:30s,60.7,12.4,7.5
H2,40N:45s,62.2,14.3,8.9
H3,40N:1min,61.3,13.8,8.4
H4,40N:2min,62.0,15.0,9.3
H5,40N:3min,62.2,14.0,8.7
H6,40N:5min,63.9,15.7,10.0
H7,40N:7min,60.6,14.4,8.7
H8,40N:10min,58.6,14.8,8.7
H9,40N:15min,57.1,14.7,8.4
H10,40N:20min,52.1,14.6,7.6
H11,40N:30min,50.2,15.0,7.5
H12,SampH12,34.0,3.6,1.2
